week,value
5/31/2015,21
6/7/2015,19
6/14/2015,21
6/21/2015,19
6/28/2015,19
7/5/2015,20
7/12/2015,15
7/19/2015,18
7/26/2015,21
8/2/2015,18
8/9/2015,22
8/16/2015,16
8/23/2015,21
8/30/2015,17
9/6/2015,18
9/13/2015,17
9/20/2015,17
9/27/2015,21
10/4/2015,16
10/11/2015,22
10/18/2015,20
10/25/2015,16
11/1/2015,19
11/8/2015,18
11/15/2015,22
11/22/2015,15
11/29/2015,20
12/6/2015,21
12/13/2015,22
12/20/2015,20
12/27/2015,29
1/3/2016,27
1/10/2016,26
1/17/2016,31
1/24/2016,29
1/31/2016,35
2/7/2016,42
2/14/2016,46
2/21/2016,50
2/28/2016,59
3/6/2016,57
3/13/2016,96
3/20/2016,83
3/27/2016,63
4/3/2016,64
4/10/2016,66
4/17/2016,51
4/24/2016,32
5/1/2016,27
5/8/2016,27
5/15/2016,26
5/22/2016,30
5/29/2016,25
6/5/2016,19
6/12/2016,20
6/19/2016,18
6/26/2016,24
7/3/2016,18
7/10/2016,22
7/17/2016,18
7/24/2016,17
7/31/2016,18
8/7/2016,19
8/14/2016,19
8/21/2016,18
8/28/2016,20
9/4/2016,20
9/11/2016,24
9/18/2016,18
9/25/2016,17
10/2/2016,19
10/9/2016,21
10/16/2016,19
10/23/2016,20
10/30/2016,18
11/6/2016,19
11/13/2016,25
11/20/2016,20
11/27/2016,23
12/4/2016,19
12/11/2016,25
12/18/2016,23
12/25/2016,26
1/1/2017,24
1/8/2017,28
1/15/2017,28
1/22/2017,29
1/29/2017,34
2/5/2017,33
2/12/2017,40
2/19/2017,45
2/26/2017,58
3/5/2017,58
3/12/2017,73
3/19/2017,65
3/26/2017,58
4/2/2017,77
4/9/2017,78
4/16/2017,48
4/23/2017,35
4/30/2017,28
5/7/2017,29
5/14/2017,29
5/21/2017,24
5/28/2017,24
6/4/2017,22
6/11/2017,19
6/18/2017,21
6/25/2017,23
7/2/2017,21
7/9/2017,22
7/16/2017,22
7/23/2017,20
7/30/2017,22
8/6/2017,23
8/13/2017,19
8/20/2017,17
8/27/2017,21
9/3/2017,20
9/10/2017,22
9/17/2017,22
9/24/2017,21
10/1/2017,19
10/8/2017,18
10/15/2017,19
10/22/2017,19
10/29/2017,17
11/5/2017,21
11/12/2017,24
11/19/2017,21
11/26/2017,19
12/3/2017,22
12/10/2017,23
12/17/2017,23
12/24/2017,28
12/31/2017,30
1/7/2018,29
1/14/2018,30
1/21/2018,31
1/28/2018,35
2/4/2018,35
2/11/2018,45
2/18/2018,45
2/25/2018,47
3/4/2018,52
3/11/2018,65
3/18/2018,76
3/25/2018,71
4/1/2018,68
4/8/2018,74
4/15/2018,70
4/22/2018,56
4/29/2018,35
5/6/2018,27
5/13/2018,26
5/20/2018,29
5/27/2018,28
6/3/2018,26
6/10/2018,20
6/17/2018,21
6/24/2018,19
7/1/2018,21
7/8/2018,21
7/15/2018,23
7/22/2018,21
7/29/2018,22
8/5/2018,24
8/12/2018,20
8/19/2018,22
8/26/2018,22
9/2/2018,19
9/9/2018,22
9/16/2018,20
9/23/2018,20
9/30/2018,23
10/7/2018,21
10/14/2018,21
10/21/2018,20
10/28/2018,21
11/4/2018,21
11/11/2018,22
11/18/2018,23
11/25/2018,22
12/2/2018,23
12/9/2018,23
12/16/2018,23
12/23/2018,26
12/30/2018,28
1/6/2019,28
1/13/2019,27
1/20/2019,34
1/27/2019,35
2/3/2019,35
2/10/2019,36
2/17/2019,43
2/24/2019,47
3/3/2019,51
3/10/2019,64
3/17/2019,79
3/24/2019,79
3/31/2019,87
4/7/2019,85
4/14/2019,78
4/21/2019,57
4/28/2019,40
5/5/2019,29
5/12/2019,35
5/19/2019,26
5/26/2019,32
6/2/2019,25
6/9/2019,20
6/16/2019,25
6/23/2019,21
6/30/2019,23
7/7/2019,25
7/14/2019,26
7/21/2019,21
7/28/2019,24
8/4/2019,23
8/11/2019,24
8/18/2019,24
8/25/2019,22
9/1/2019,22
9/8/2019,24
9/15/2019,22
9/22/2019,19
9/29/2019,24
10/6/2019,22
10/13/2019,23
10/20/2019,25
10/27/2019,23
11/3/2019,24
11/10/2019,23
11/17/2019,24
11/24/2019,24
12/1/2019,25
12/8/2019,31
12/15/2019,25
12/22/2019,28
12/29/2019,28
1/5/2020,33
1/12/2020,33
1/19/2020,39
1/26/2020,31
2/2/2020,36
2/9/2020,40
2/16/2020,45
2/23/2020,48
3/1/2020,52
3/8/2020,39
3/15/2020,30
3/22/2020,46
3/29/2020,73
4/5/2020,100
4/12/2020,46
4/19/2020,38
4/26/2020,37
5/3/2020,41
5/10/2020,35
5/17/2020,39
5/24/2020,30
