week,value
5/31/2015,13
6/7/2015,26
6/14/2015,22
6/21/2015,12
6/28/2015,28
7/5/2015,20
7/12/2015,19
7/19/2015,21
7/26/2015,16
8/2/2015,34
8/9/2015,21
8/16/2015,28
8/23/2015,23
8/30/2015,36
9/6/2015,13
9/13/2015,11
9/20/2015,30
9/27/2015,23
10/4/2015,19
10/11/2015,24
10/18/2015,25
10/25/2015,29
11/1/2015,21
11/8/2015,21
11/15/2015,11
11/22/2015,8
11/29/2015,23
12/6/2015,11
12/13/2015,18
12/20/2015,20
12/27/2015,28
1/3/2016,34
1/10/2016,49
1/17/2016,34
1/24/2016,31
1/31/2016,73
2/7/2016,35
2/14/2016,32
2/21/2016,28
2/28/2016,28
3/6/2016,32
3/13/2016,64
3/20/2016,67
3/27/2016,70
4/3/2016,54
4/10/2016,45
4/17/2016,28
4/24/2016,20
5/1/2016,18
5/8/2016,12
5/15/2016,17
5/22/2016,29
5/29/2016,24
6/5/2016,24
6/12/2016,21
6/19/2016,29
6/26/2016,12
7/3/2016,13
7/10/2016,29
7/17/2016,17
7/24/2016,33
7/31/2016,13
8/7/2016,28
8/14/2016,20
8/21/2016,9
8/28/2016,6
9/4/2016,27
9/11/2016,18
9/18/2016,16
9/25/2016,22
10/2/2016,24
10/9/2016,21
10/16/2016,28
10/23/2016,12
10/30/2016,25
11/6/2016,16
11/13/2016,20
11/20/2016,18
11/27/2016,31
12/4/2016,16
12/11/2016,23
12/18/2016,14
12/25/2016,29
1/1/2017,29
1/8/2017,54
1/15/2017,26
1/22/2017,29
1/29/2017,57
2/5/2017,47
2/12/2017,39
2/19/2017,31
2/26/2017,45
3/5/2017,40
3/12/2017,35
3/19/2017,83
3/26/2017,43
4/2/2017,50
4/9/2017,39
4/16/2017,29
4/23/2017,40
4/30/2017,26
5/7/2017,22
5/14/2017,18
5/21/2017,14
5/28/2017,17
6/4/2017,35
6/11/2017,12
6/18/2017,18
6/25/2017,25
7/2/2017,19
7/9/2017,18
7/16/2017,22
7/23/2017,16
7/30/2017,20
8/6/2017,21
8/13/2017,14
8/20/2017,23
8/27/2017,30
9/3/2017,17
9/10/2017,39
9/17/2017,17
9/24/2017,17
10/1/2017,15
10/8/2017,18
10/15/2017,28
10/22/2017,23
10/29/2017,30
11/5/2017,19
11/12/2017,31
11/19/2017,12
11/26/2017,16
12/3/2017,23
12/10/2017,17
12/17/2017,15
12/24/2017,14
12/31/2017,39
1/7/2018,34
1/14/2018,35
1/21/2018,33
1/28/2018,65
2/4/2018,38
2/11/2018,27
2/18/2018,32
2/25/2018,39
3/4/2018,35
3/11/2018,49
3/18/2018,70
3/25/2018,60
4/1/2018,59
4/8/2018,43
4/15/2018,25
4/22/2018,18
4/29/2018,23
5/6/2018,22
5/13/2018,17
5/20/2018,23
5/27/2018,33
6/3/2018,21
6/10/2018,16
6/17/2018,12
6/24/2018,33
7/1/2018,23
7/8/2018,19
7/15/2018,18
7/22/2018,31
7/29/2018,21
8/5/2018,24
8/12/2018,17
8/19/2018,12
8/26/2018,20
9/2/2018,29
9/9/2018,28
9/16/2018,16
9/23/2018,10
9/30/2018,18
10/7/2018,27
10/14/2018,22
10/21/2018,34
10/28/2018,20
11/4/2018,22
11/11/2018,20
11/18/2018,18
11/25/2018,13
12/2/2018,17
12/9/2018,29
12/16/2018,26
12/23/2018,24
12/30/2018,20
1/6/2019,36
1/13/2019,39
1/20/2019,60
1/27/2019,100
2/3/2019,66
2/10/2019,35
2/17/2019,26
2/24/2019,46
3/3/2019,61
3/10/2019,48
3/17/2019,64
3/24/2019,54
3/31/2019,65
4/7/2019,56
4/14/2019,44
4/21/2019,29
4/28/2019,24
5/5/2019,18
5/12/2019,29
5/19/2019,25
5/26/2019,22
6/2/2019,18
6/9/2019,16
6/16/2019,28
6/23/2019,20
6/30/2019,20
7/7/2019,25
7/14/2019,16
7/21/2019,23
7/28/2019,12
8/4/2019,10
8/11/2019,17
8/18/2019,21
8/25/2019,30
9/1/2019,15
9/8/2019,19
9/15/2019,11
9/22/2019,32
9/29/2019,23
10/6/2019,25
10/13/2019,15
10/20/2019,19
10/27/2019,15
11/3/2019,22
11/10/2019,26
11/17/2019,13
11/24/2019,16
12/1/2019,20
12/8/2019,25
12/15/2019,26
12/22/2019,30
12/29/2019,33
1/5/2020,26
1/12/2020,54
1/19/2020,36
1/26/2020,68
2/2/2020,42
2/9/2020,43
2/16/2020,32
2/23/2020,36
3/1/2020,40
3/8/2020,22
3/15/2020,27
3/22/2020,25
3/29/2020,44
4/5/2020,55
4/12/2020,42
4/19/2020,24
4/26/2020,28
5/3/2020,33
5/10/2020,27
5/17/2020,24
5/24/2020,23
