week,value
5/31/2015,1
6/7/2015,1
6/14/2015,1
6/21/2015,2
6/28/2015,1
7/5/2015,1
7/12/2015,1
7/19/2015,2
7/26/2015,1
8/2/2015,1
8/9/2015,1
8/16/2015,1
8/23/2015,0
8/30/2015,2
9/6/2015,1
9/13/2015,1
9/20/2015,1
9/27/2015,2
10/4/2015,1
10/11/2015,3
10/18/2015,3
10/25/2015,1
11/1/2015,2
11/8/2015,2
11/15/2015,1
11/22/2015,2
11/29/2015,4
12/6/2015,3
12/13/2015,3
12/20/2015,2
12/27/2015,2
1/3/2016,3
1/10/2016,3
1/17/2016,3
1/24/2016,5
1/31/2016,8
2/7/2016,5
2/14/2016,4
2/21/2016,9
2/28/2016,13
3/6/2016,25
3/13/2016,41
3/20/2016,79
3/27/2016,50
4/3/2016,24
4/10/2016,23
4/17/2016,8
4/24/2016,3
5/1/2016,2
5/8/2016,3
5/15/2016,1
5/22/2016,3
5/29/2016,1
6/5/2016,2
6/12/2016,2
6/19/2016,2
6/26/2016,1
7/3/2016,2
7/10/2016,2
7/17/2016,2
7/24/2016,2
7/31/2016,2
8/7/2016,1
8/14/2016,1
8/21/2016,2
8/28/2016,1
9/4/2016,2
9/11/2016,2
9/18/2016,2
9/25/2016,3
10/2/2016,2
10/9/2016,3
10/16/2016,2
10/23/2016,2
10/30/2016,2
11/6/2016,2
11/13/2016,1
11/20/2016,1
11/27/2016,3
12/4/2016,4
12/11/2016,5
12/18/2016,2
12/25/2016,5
1/1/2017,3
1/8/2017,2
1/15/2017,2
1/22/2017,5
1/29/2017,3
2/5/2017,6
2/12/2017,6
2/19/2017,10
2/26/2017,21
3/5/2017,22
3/12/2017,29
3/19/2017,39
3/26/2017,37
4/2/2017,45
4/9/2017,21
4/16/2017,5
4/23/2017,4
4/30/2017,2
5/7/2017,3
5/14/2017,2
5/21/2017,2
5/28/2017,2
6/4/2017,1
6/11/2017,2
6/18/2017,2
6/25/2017,1
7/2/2017,4
7/9/2017,1
7/16/2017,1
7/23/2017,2
7/30/2017,2
8/6/2017,2
8/13/2017,1
8/20/2017,2
8/27/2017,2
9/3/2017,2
9/10/2017,2
9/17/2017,2
9/24/2017,1
10/1/2017,1
10/8/2017,2
10/15/2017,2
10/22/2017,3
10/29/2017,1
11/5/2017,3
11/12/2017,4
11/19/2017,4
11/26/2017,3
12/3/2017,5
12/10/2017,3
12/17/2017,5
12/24/2017,2
12/31/2017,3
1/7/2018,5
1/14/2018,6
1/21/2018,8
1/28/2018,6
2/4/2018,6
2/11/2018,4
2/18/2018,8
2/25/2018,27
3/4/2018,33
3/11/2018,40
3/18/2018,55
3/25/2018,85
4/1/2018,99
4/8/2018,100
4/15/2018,25
4/22/2018,16
4/29/2018,6
5/6/2018,5
5/13/2018,3
5/20/2018,1
5/27/2018,2
6/3/2018,2
6/10/2018,2
6/17/2018,3
6/24/2018,1
7/1/2018,2
7/8/2018,3
7/15/2018,3
7/22/2018,1
7/29/2018,1
8/5/2018,2
8/12/2018,2
8/19/2018,3
8/26/2018,1
9/2/2018,1
9/9/2018,3
9/16/2018,1
9/23/2018,2
9/30/2018,1
10/7/2018,3
10/14/2018,2
10/21/2018,3
10/28/2018,2
11/4/2018,2
11/11/2018,3
11/18/2018,2
11/25/2018,5
12/2/2018,6
12/9/2018,3
12/16/2018,4
12/23/2018,8
12/30/2018,7
1/6/2019,2
1/13/2019,4
1/20/2019,6
1/27/2019,5
2/3/2019,6
2/10/2019,7
2/17/2019,8
2/24/2019,14
3/3/2019,19
3/10/2019,26
3/17/2019,47
3/24/2019,94
3/31/2019,90
4/7/2019,71
4/14/2019,17
4/21/2019,9
4/28/2019,5
5/5/2019,6
5/12/2019,3
5/19/2019,3
5/26/2019,2
6/2/2019,3
6/9/2019,2
6/16/2019,3
6/23/2019,3
6/30/2019,2
7/7/2019,3
7/14/2019,2
7/21/2019,1
7/28/2019,2
8/4/2019,1
8/11/2019,1
8/18/2019,1
8/25/2019,0
9/1/2019,3
9/8/2019,4
9/15/2019,1
9/22/2019,2
9/29/2019,0
10/6/2019,0
10/13/2019,3
10/20/2019,2
10/27/2019,1
11/3/2019,2
11/10/2019,3
11/17/2019,2
11/24/2019,3
12/1/2019,4
12/8/2019,6
12/15/2019,5
12/22/2019,3
12/29/2019,3
1/5/2020,3
1/12/2020,3
1/19/2020,6
1/26/2020,7
2/2/2020,5
2/9/2020,3
2/16/2020,10
2/23/2020,14
3/1/2020,16
3/8/2020,26
3/15/2020,34
3/22/2020,21
3/29/2020,5
4/5/2020,5
4/12/2020,3
4/19/2020,1
4/26/2020,1
5/3/2020,2
5/10/2020,2
5/17/2020,5
5/24/2020,4
