week,value
5/31/2015,5
6/7/2015,6
6/14/2015,8
6/21/2015,11
6/28/2015,7
7/5/2015,7
7/12/2015,12
7/19/2015,10
7/26/2015,9
8/2/2015,7
8/9/2015,7
8/16/2015,4
8/23/2015,6
8/30/2015,7
9/6/2015,6
9/13/2015,8
9/20/2015,3
9/27/2015,7
10/4/2015,7
10/11/2015,9
10/18/2015,5
10/25/2015,6
11/1/2015,8
11/8/2015,6
11/15/2015,8
11/22/2015,5
11/29/2015,6
12/6/2015,6
12/13/2015,6
12/20/2015,4
12/27/2015,10
1/3/2016,8
1/10/2016,9
1/17/2016,9
1/24/2016,6
1/31/2016,9
2/7/2016,12
2/14/2016,15
2/21/2016,19
2/28/2016,29
3/6/2016,46
3/13/2016,57
3/20/2016,44
3/27/2016,26
4/3/2016,23
4/10/2016,23
4/17/2016,20
4/24/2016,13
5/1/2016,10
5/8/2016,8
5/15/2016,9
5/22/2016,8
5/29/2016,7
6/5/2016,7
6/12/2016,6
6/19/2016,6
6/26/2016,8
7/3/2016,6
7/10/2016,6
7/17/2016,6
7/24/2016,10
7/31/2016,6
8/7/2016,7
8/14/2016,5
8/21/2016,6
8/28/2016,7
9/4/2016,6
9/11/2016,7
9/18/2016,5
9/25/2016,7
10/2/2016,7
10/9/2016,7
10/16/2016,6
10/23/2016,8
10/30/2016,6
11/6/2016,5
11/13/2016,6
11/20/2016,4
11/27/2016,7
12/4/2016,6
12/11/2016,6
12/18/2016,5
12/25/2016,5
1/1/2017,10
1/8/2017,10
1/15/2017,8
1/22/2017,9
1/29/2017,10
2/5/2017,8
2/12/2017,11
2/19/2017,13
2/26/2017,14
3/5/2017,17
3/12/2017,24
3/19/2017,45
3/26/2017,81
4/2/2017,76
4/9/2017,32
4/16/2017,28
4/23/2017,25
4/30/2017,13
5/7/2017,13
5/14/2017,9
5/21/2017,8
5/28/2017,9
6/4/2017,8
6/11/2017,6
6/18/2017,7
6/25/2017,8
7/2/2017,10
7/9/2017,8
7/16/2017,7
7/23/2017,6
7/30/2017,6
8/6/2017,7
8/13/2017,7
8/20/2017,6
8/27/2017,4
9/3/2017,5
9/10/2017,7
9/17/2017,5
9/24/2017,7
10/1/2017,4
10/8/2017,7
10/15/2017,9
10/22/2017,8
10/29/2017,7
11/5/2017,5
11/12/2017,8
11/19/2017,6
11/26/2017,5
12/3/2017,6
12/10/2017,7
12/17/2017,7
12/24/2017,8
12/31/2017,6
1/7/2018,9
1/14/2018,8
1/21/2018,11
1/28/2018,9
2/4/2018,11
2/11/2018,8
2/18/2018,13
2/25/2018,15
3/4/2018,21
3/11/2018,62
3/18/2018,80
3/25/2018,64
4/1/2018,42
4/8/2018,25
4/15/2018,28
4/22/2018,20
4/29/2018,15
5/6/2018,11
5/13/2018,14
5/20/2018,10
5/27/2018,5
6/3/2018,7
6/10/2018,6
6/17/2018,6
6/24/2018,8
7/1/2018,7
7/8/2018,9
7/15/2018,8
7/22/2018,8
7/29/2018,7
8/5/2018,7
8/12/2018,8
8/19/2018,8
8/26/2018,9
9/2/2018,6
9/9/2018,6
9/16/2018,6
9/23/2018,8
9/30/2018,6
10/7/2018,7
10/14/2018,7
10/21/2018,8
10/28/2018,7
11/4/2018,7
11/11/2018,5
11/18/2018,6
11/25/2018,7
12/2/2018,8
12/9/2018,8
12/16/2018,6
12/23/2018,8
12/30/2018,7
1/6/2019,9
1/13/2019,10
1/20/2019,10
1/27/2019,7
2/3/2019,11
2/10/2019,8
2/17/2019,9
2/24/2019,22
3/3/2019,20
3/10/2019,24
3/17/2019,57
3/24/2019,83
3/31/2019,100
4/7/2019,35
4/14/2019,31
4/21/2019,33
4/28/2019,19
5/5/2019,13
5/12/2019,10
5/19/2019,8
5/26/2019,10
6/2/2019,10
6/9/2019,8
6/16/2019,6
6/23/2019,6
6/30/2019,9
7/7/2019,9
7/14/2019,7
7/21/2019,7
7/28/2019,7
8/4/2019,6
8/11/2019,11
8/18/2019,6
8/25/2019,8
9/1/2019,5
9/8/2019,4
9/15/2019,9
9/22/2019,7
9/29/2019,6
10/6/2019,10
10/13/2019,7
10/20/2019,5
10/27/2019,5
11/3/2019,8
11/10/2019,9
11/17/2019,9
11/24/2019,8
12/1/2019,7
12/8/2019,12
12/15/2019,8
12/22/2019,9
12/29/2019,9
1/5/2020,12
1/12/2020,11
1/19/2020,11
1/26/2020,8
2/2/2020,13
2/9/2020,12
2/16/2020,17
2/23/2020,24
3/1/2020,34
3/8/2020,30
3/15/2020,36
3/22/2020,31
3/29/2020,40
4/5/2020,56
4/12/2020,28
4/19/2020,23
4/26/2020,21
5/3/2020,19
5/10/2020,11
5/17/2020,11
5/24/2020,16
